price,volume
1360.5,1861490
1358.97,2207290
1345.05,2295800
1345.05,2154955
1369.93,2014110
1364.2,1602100
1354.61,2001030
1366.05,1812000
1381.85,1845150
1377.6,1750850
1356.29,1911830
1347.2,2225490
1301.4,2579270
1302.71,2068490
1268.37,2233870
1267.75,2147270
1272.64,2112410
1287.69,2504580
1279.79,1826570
1299.35,2138320
1332.44,2255410
1371.35,2502730
1361.4,1985370
1320.15,2182060
1363.03,2097970
1365.78,2088360
1393.68,2283620
1407.5,3011110
1401.83,2349870
1391.69,2220420
1384.3,2040470
1340.55,3159320
1340.55,2827245
1299.96,2495170
1299.96,1247585
1299.96,623792.5
1299.96,1382366
1298.32,2140940
1306.66,1718490
1334.9,2372820
1334.3,2128640
1337.27,2067710
1320.19,2501970
1321.65,1952080
1335.85,1784450
1338.38,2341970
1336.56,2018770
1343.4,1887270
1338.68,1730820
1326.5,1627830
1342.88,1618340
1342.87,1769430
1349.93,1805680
1366.01,1597730
1379.8,2528400
1362.07,1995280
1331.81,2075080
1337.23,1670490
1332.43,1870870
1340.77,1614680
1350.97,1666130
1337.41,1684040
1330.72,2207210
1284.54,1876310
1271.93,1976030
1277.11,1938420
1241.56,2209240
1250.83,2397380
1279.19,1844840
1293.9,1722320
1284.61,1615660
1298.71,1641880
1204.48,3623280
1225.76,2282850
1224.62,2495620
1247.69,2100880
1245.82,2129560
1254.44,1735920
1261.97,1579500
1256.64,1578470
1234.2,2216780
1226.09,1832930
1209.88,1845240
1255.79,1996680
1285.73,2605430
1300.26,2739430
1311.16,2053770
1317.1,2510780
1317.1,2260640
1331.39,2010500
1330.75,1864410
1339.39,2006600
1327.51,1591040
1325.36,1685400
1306.94,1910840
1321.67,2239080
1307,1897710
1322.74,3188740
1321.83,2404090
1300.2,1974290
1271.98,2240690
1282.99,2275590
1279.9,1889570
1305.53,2117480
1317.49,1892470
1314.83,1700310
1314.83,1736615
1323.22,1772920
1316.63,1243770
1298.47,1614580
1311.13,1751820
1290.79,1876090
1295.67,1752990
1303.68,1408190
1297.56,1582540
1306.71,1322870
1304.27,1349190
1287.9,1546080
1313.24,1616670
1312.81,1549530
1329.54,2089280
1337.38,1843740
1340.76,1644630
1343.85,1750100
1352.58,1542670
1349.53,1915840
1345.95,1672420
1343.86,1764690
1323.1,1617840
1322.99,1423700
1314.74,1664040
1301.11,1673560
1311.5,1894250
1311.5,1844920
1316.97,1795590
1352.67,2589020
1352.67,2276170
1349.56,1963320
1335.84,1526350
1349.22,2239210
1330.77,1643820
1343.25,1760920
1322.78,1819580
1330.72,1496840
1340.21,1562820
1347.81,1720750
1353.93,1702440
1350.61,1512290
1350.61,1588725
1356.35,1665160
1342.35,1715620
1342.31,1659510
1347.19,1626160
1352.56,1527030
1356.57,1531820
1357.2,1561100
1370.8,1851080
1365.29,1827500
1367.61,1407130
1377.32,1762220
1382.7,1589040
1382.01,1701200
1392.41,2628810
1393.02,2242630
1393.19,1906020
1368.44,2056340
1368.44,2056575
1347.04,2056810
1362.8,1761630
1363.49,1659710
1301.16,3810190
1376.35,3200330
1378.28,3395440
1400,2527660
1402.98,2494860
1421.65,2726660
1423.08,2370120
1428.46,2541060
1442.93,2070740
1447.5,1960900
1447.5,2164215
1459.96,2367530
1464.53,2492780
1469.58,2185690
1468.57,1956010
1469.43,2671160
1483.27,2821410
1477.98,2833400
1466.96,2068000
1477.2,2391360
1490.62,2400660
1512.69,2818600
1525.36,3131960
1531.43,2955500
1540.25,2313000
1538.69,2045110
1542.72,2324630
1550.67,2310080
1549.06,1737430
1552.36,1929720
1544.94,2102490
1543.82,1871380
1543.82,1656620
1538.14,1441860
1536.22,1749650
1536.8,1311430
1518.39,2249140
1518.61,1667860
1518.61,833930
1518.61,1604830
1554.48,2375730
1555.68,2046380
1553.32,1861890
1553.32,1878280
1542.31,1894670
1550.4,1944330
1535.41,2007000
1544.89,1600200
1530.64,1469550
1509.1,1710560
1513.86,1818260
1528.15,2254440
1533.46,1791400
1514.63,1777700
1506.33,1866880
1521.58,1934340
1545.01,2300000
1549.25,1947160
1543.77,1532740
1521.67,1997460
1527.77,2032170
1510.41,2128180
1514.99,2116970
1520.42,1797660
1516.15,1694480
1524.15,1641710
1513.55,1933510
1546.56,2242750
1554.2,1880560
1539.12,2104660
1553.69,2104590
1551.07,2027940
1544.54,2029290
1547.01,1497390
1555.6,1528430
1557.09,2174800
1556.25,1961060
1550.14,2112830
1534,1838330
1535.32,1984000
1553.09,1993640
1564.69,2210380
1558.05,1717450
1554.9,1408970
1555.04,1575960
1550.25,1626030
1554.68,1595020
1574.01,2267160
1577.4,1471800
1574.9,1758240
1571.31,1650200
1572.69,1796510
1565.85,2013610
1565.85,1805395
1563.42,1597180
1530.2,2055530
1530.41,1759630
1543.92,1821740
1524.39,1762930
1544.83,1900130
1542.07,1751400
1527.59,1849410
1512.6,2222230
1517.03,2015020
1504.54,2260500
1504.66,1892160
1480.18,2068300
1489.77,2401450
1499.65,1732340
1495.1,1691170
1479.54,1924070
1468.31,1958680
1459.07,1838850
1465.69,1454290
1471.53,1575220
1471.42,1952910
1472.81,1841060
1488.58,1862440
1503.19,1921190
1519.21,1948680
1537.41,2035530
1536.67,1970200
1531.8,1996530
1539.77,1760860
1550.3,1862940
1550.3,931470
1550.3,465735
1550.3,1436908
1585.86,2408080
1581.77,1990900
1585.19,2169890
1586.86,2292020
1580.71,2248620
1580,2155770
1584.23,2174250
1575.82,1964470
1555.01,2184630
1559.73,1908630
1567.65,1467410
1565.22,1543760
1575.11,1728230
1578.42,1677270
1569.42,1563610
1570.21,1274530
1572.67,1326030
1568.37,2018980
1586.14,1738300
1612.2,2315120
1609.97,1648110
1596.44,1704820
1597.09,1718170
1590.41,1983750
1591.66,2263870
1591.55,1785760
1593.51,1614380
1591.77,1701270
1588.09,1881920
1596.04,2285560
1606.07,1484690
1617.25,1836540
1611.56,1634360
1610.38,1550400
1611.34,1532200
1612.21,1395600
1619.02,1573970
1614.37,1920070
1624.07,1950410
1611.9,1968970
1614.41,1601090
1609.7,1857720
1618.63,1794610
1615.53,1683080
1607.06,1653750
1615.48,1540250
1627.14,1436210
1619.34,1480420
1619.11,1739570
1625.48,2043290
1625.48,1930270
1620.48,1817250
1621.87,1641420
1633.01,1650970
1629.99,1534020
1621.57,1561430
1617.07,1497560
1620.88,1727770
1626.84,1837160
1621.22,2028090
1618.61,2334550
1628.5,1944530
1634.38,1718450
1633.82,1680630
1631.45,1515000
1639.27,1505900
1635.32,1652360
1617.9,2066310
1617.25,1964130
1617.25,1961620
1599.06,1959110
1616.21,1650800
1616,1435390
1614.82,1436190
1597.36,1671730
1595.19,1406900
1596.12,1314910
1600.05,1453320
1592.2,1442220
1596.99,1343610
1600.12,1344920
1597.76,1387000
1607.65,1705300
1617.41,1770350
1619.59,1630440
